0,0.001,0.001
0.053776,0.001,0.001
0.10622,0.0012046,0.00080849
0.14159,0.0014895,0.00055876
0.17841,0.0017862,0.00029884
0.21351,0.0020689,5.1017e-05
0.26649,0.0020592,-0.0003383
0.32,0.0016092,-0.00077337
0.37378,0.0011569,-0.0012106
0.42622,0.00092282,-0.0013776
0.46159,0.00089417,-0.0013078
0.49841,0.00086436,-0.0012352
0.53351,0.00083593,-0.0011659
0.58649,0.00063098,-0.0013002
0.64,0.00027455,-0.0016864
0.69378,-8.3677e-05,-0.0020744
0.74622,-0.00047368,-0.0020311
0.78159,-0.00078134,-0.0017194
0.81841,-0.0011016,-0.001395
0.85351,-0.0014069,-0.0010857
0.90649,-0.0015595,-0.00081564
0.96,-0.0013918,-0.00072324
1.0138,-0.0012232,-0.00063038
1.0662,-0.001298,-0.00042494
1.1016,-0.001513,-0.00021814
1.1384,-0.0017368,-2.8962e-06
1.1735,-0.0019502,0.00020233
1.2265,-0.0018661,0.00057637
1.28,-0.0013769,0.0010445
1.3338,-0.00088514,0.001515
1.3862,-0.00055436,0.001654
1.4216,-0.00041701,0.0015258
1.4584,-0.00027405,0.0013925
1.4935,-0.00013775,0.0012653
1.5465,8.1464e-05,0.0013272
1.6,0.00030126,0.0016502
1.6538,0.00052216,0.0019749
1.7062,0.00085892,0.0018928
1.7416,0.0011827,0.0015723
1.7784,0.0015198,0.0012387
1.8135,0.0018411,0.00092059
1.8665,0.0019307,0.00060146
1.92,0.0016155,0.00042004
1.9738,0.0012987,0.00023771
2.0262,0.0012346,2.5866e-05
2.0616,0.0013538,-0.00013045
2.0984,0.0014777,-0.00029315
2.1335,0.001596,-0.00044828
2.1865,0.0014477,-0.00079338
2.24,0.00097824,-0.0012774
2.2938,0.00050645,-0.0017639
2.3462,0.00011895,-0.0018699
2.3816,-0.00011051,-0.0016881
2.4184,-0.00034935,-0.0014988
2.4535,-0.00057706,-0.0013184
2.5065,-0.00078407,-0.0013056
2.56,-0.00084068,-0.0015537
2.6138,-0.00089758,-0.0018032
2.6662,-0.0011404,-0.0016853
2.7016,-0.0014413,-0.0013677
2.7384,-0.0017544,-0.001037
2.7735,-0.002053,-0.00072181
2.8265,-0.0020687,-0.00036529
2.88,-0.0016441,-0.00010149
2.9338,-0.0012174,0.00016365
2.9862,-0.0010222,0.00037416
3.0216,-0.001031,0.00047428
3.0584,-0.0010402,0.00057848
3.0935,-0.001049,0.00067784
3.1465,-0.00085438,0.00098138
3.2,-0.00046148,0.0014637
3.2538,-6.6597e-05,0.0019484
3.3062,0.00033082,0.0020174
3.3416,0.00062469,0.0017886
3.3784,0.00093056,0.0015504
3.4135,0.0012222,0.0013234
3.4665,0.001392,0.0012362
3.52,0.0012786,0.0014005
3.5738,0.0011646,0.0015655
3.6262,0.0012842,0.0014163
3.6616,0.0015258,0.0011131
3.6984,0.0017772,0.00079751
3.7335,0.002017,0.00049664
3.7865,0.0019569,0.00011577
3.84,0.0014741,-0.00022078
3.8938,0.000989,-0.00055902
3.9462,0.00068632,-0.0007605
3.9816,0.00058378,-0.00080076
4.0184,0.00047706,-0.00084267
4.0535,0.00037531,-0.00088262
4.1065,0.0001579,-0.0011335
4.16,-0.00011102,-0.0015964
